Title,Rating,Genre,Cast
Deadpool & Wolverine,not rated,"['Action', 'Comedy', 'Science Fiction']","['Ryan Reynolds', 'Hugh Jackman', 'Emma Corrin', 'Morena Baccarin', 'Rob Delaney', 'Leslie Uggams', 'Karan Soni', 'Matthew Macfadyen', 'Stefan Kapičić', 'Brianna Hildebrand', 'Shioli Kutsuna', 'Lewis Tan', 'Randal Reeder', 'Aaron Stanford', 'Jennifer Garner']"
Dogman,73.44,"['Action', 'Drama', 'Crime']","['Caleb Landry Jones', 'Jojo T. Gibbs', 'Christopher Denham', 'Grace Palma', 'Clemens Schick', 'John Charles Aguilar', 'Iris Bry', 'Marisa Berenson', 'Lincoln Powell', 'Alexander Settineri', 'Michael Garza', 'James Payton', 'Eric Carter', 'Frédéric Guérin', 'Bennett Saltzman', 'Gwyneth Anne Trumbore', 'Derek Siow', 'Avant Strangel', 'Corinne Delacour', 'Naima Hebrail Kidjo', 'Charles Gray', 'Mael Fagla Medegan', 'Bianca Melgar', 'Luing Andrews', 'Jeremiah Figuereo', 'Aven Campau', 'Jeff Mantel', 'Adam Speers', 'William Sciortino', 'C.C. DeNeira', ""Genevieve O'Neal"", 'Laetitia Mampaka']"
Five Nights at Freddy's,77,"['Horror', 'Mystery']","['Josh Hutcherson', 'Piper Rubio', 'Elizabeth Lail', 'Matthew Lillard', 'Mary Stuart Masterson', 'Kat Conner Sterling', 'David Lind', 'Christian Stokes', 'Joseph Poliquin', 'Grant Feely', 'Asher Colton Spence', 'David Huston Doty', 'Liam Hendrix', 'Jophielle Love', 'Tadasay Young', 'Michael P. Sullivan', 'Wyatt Parker', 'Lucas Grant', 'Jessica Blackmore', 'Garrett Hines', 'Ryan Reinike', 'Theodus Crane', 'Julia Belanova', 'Lisa Mackel Smith', 'Xander Mateo', 'Matthew Patrick', 'Bailey Winston', 'Gralen Bryant Banks', 'Cory Kenshin', 'Victoria Patenaude']"
The Farm,52.98,['Horror'],"['Nora Yessayan', 'Alec Gaylord', 'Ken Volok', 'Rob Tisdale', 'Kelly Mis', 'Jola Cora', 'David Air', 'Sandra Cruze']"
Mea Culpa,57.62,"['Thriller', 'Drama']","['Kelly Rowland', 'Trevante Rhodes', 'Sean Sagar', 'Nick Sagar', 'RonReaco Lee', 'Shannon Thornton', 'Angela Robinson', ""Kerry O'Malley"", 'Connor Weil', 'María Gabriela González', 'Cory Hardin', 'Shanita Wilburn', 'Ray Fawley', 'Art Newkirk']"
The Batman,76.85,"['Crime', 'Mystery', 'Thriller']","['Robert Pattinson', 'Zoë Kravitz', 'Paul Dano', 'Jeffrey Wright', 'John Turturro', 'Peter Sarsgaard', 'Andy Serkis', 'Colin Farrell', 'Jayme Lawson', 'Gil Perez-Abraham', 'Peter McDonald', ""Con O'Neill"", 'Alex Ferns', 'Rupert Penry-Jones', 'Charlie Carver', 'Max Carver', 'Barry Keoghan', 'Kosha Engler', 'Archie Barnes', 'Janine Harouni', 'Hana Hrzic', 'Joseph Walker', 'Luke Roberts', 'Oscar Novak', 'Stella Stocker', 'Sandra Dickinson', 'Jack Bennett', 'Andre Nightingale', 'Richard James-Neale', 'Lorraine Tai', 'Joseph Balderrama', 'James Eeles', 'Dave Simon', 'Angela Yeoh', 'Leemore Marrett Jr.', 'Ezra Elliott', 'Itoya Osagiede', 'Stewart Alexander', 'Adam Rojko Vega', 'Heider Ali', 'Marcus Onilude', 'Elena Saurel', 'Ed Kear', 'Sid Sagar', 'Amanda Blake', 'Todd Boyce', 'Brandon Bassir', 'Will Austin', 'Chabris Napier-Lawrence', 'Douglas Russell', 'Phil Aizlewood', 'Mark Killeen', 'Philip Shaun McGuinness', 'Lorna Brown', 'Elliot Warren', 'Jay Lycurgo', 'Stefan Race', 'Elijah Baker', 'Craige Middleburg', 'Akie Kotabe', 'Spike Fearn', 'Urielle Klein-Mekongo', 'Bronson Webb', 'Madeleine Gray', 'Ste Johnston', 'Arthur Lee', 'Parry Glasspool', 'Jordan Coulson', 'Hadas Gold', 'Pat Battle', 'Bobby Cuza', 'Dean Meminger', 'Roma Torre', 'Mike Capozzola', 'Amanda Hurwitz', 'Joshua Eldridge-Smith', 'Daniel Rainford', 'Nathalie Armin', 'Jose Palma', 'Kazeem Tosin Amore', 'Rodrig Andrisan', 'Craig Douglas']"
The Equalizer 3,73.96,"['Action', 'Thriller', 'Crime']","['Denzel Washington', 'Dakota Fanning', 'Eugenio Mastrandrea', 'David Denman', 'Gaia Scodellaro', 'Remo Girone', 'Andrea Scarduzio', 'Andrea Dodero', 'Daniele Perrone', 'Sonia Ammar', 'Manuela Tasciotti', 'Zakaria Hamza', 'Dea Lanzaro', 'Adolfo Margiotta', 'Niccolò Senni', 'Bruno Bilotta', 'Alessandro Press', 'Niccolò Fava', 'Alessandro Xavier De Silva', 'Adriano Sabrie', 'Valerio Da Silva', 'Gian Piero Rotoli', 'Isabella Delle Monache', 'Salvatore Ruocco', 'Daniele Ornatelli', 'Luigi Catani', 'Giovanni Trombetta', 'Gianluigi Scilla', 'Danilo Capuzi', 'Giovanni Scotti', 'Marta Zoffoli', 'Marco Giuliani', 'Simona Distefano', 'Mauro Cremonini', 'Arcangelo Iannace', 'Beatrice Aiello', 'Agostino Chiummariello', 'Mariarosaria Mingione', 'Marco Cicalese', 'Diego Riace', 'Lucia Zotti', 'Cristiano Pittarello', 'Melissa Leo']"
Players,61.29,"['Romance', 'Comedy']","['Gina Rodriguez', 'Damon Wayans Jr.', 'Tom Ellis', 'Augustus Prew', 'Joel Courtney', 'Liza Koshy', 'Jerry Kernion', 'Ego Nwodim', 'Marin Hinkle', ""Brock O'Hurn"", 'Gina Jun', 'Kais Boukthir', 'Sterling Jonatán Williams', 'Darron Jay Morgan', 'Dan Cordle', 'Claudia Maree Mailer', 'George J. Vezina', 'Scottie DiGiacomo', 'Sarah Dacey Charles', 'James Hightower', 'Veraalba Santa', 'Tony Foggia']"
The Painter,67.78,"['Action', 'Thriller']","['Charlie Weber', 'Jon Voight', 'Madison Bailey', 'Max Montesi', 'Marie Avgeropoulos', 'Rryla McIntosh', ""Luisa d'Oliveira"", 'Leah Gibson', 'Jason Gray-Stanford', 'Stephen Lobo', 'Simon Tattersall', 'Ryder Miller', 'Doug Chapman', 'Ashleigh Kearns', 'Marissa Bruchmann', 'Todd Masters', 'Benjamin Jacobson', 'Bobby Stewart']"
The Flash,67.85,"['Action', 'Adventure', 'Science Fiction']","['Ezra Miller', 'Sasha Calle', 'Michael Keaton', 'Michael Shannon', 'Ron Livingston', 'Maribel Verdú', 'Kiersey Clemons', 'Antje Traue', 'Saoirse-Monica Jackson', 'Rudy Mancuso', 'Ed Wade', 'Jeremy Irons', 'Temuera Morrison', 'Sanjeev Bhaskar', 'Sean Rogers', 'Kieran Hodgson', 'Luke Brandon Field', 'Ian Loh', 'Karl Collins', 'Nikolaj Coster-Waldau', 'Poppy Shepherd', 'Nina Barker-Francis', 'Ava Hamada', 'Maurice Chung', 'Florence Wright', 'Bastian Antonio Fuentes', 'Andoni Gracia', 'Alex Hank', 'Miki Muschietti', 'Rebecca Hiller', 'Rob Hunt', 'Jonny Stockwell', 'Michael Byrch', 'Bret Jones', 'Sue Maund', 'Alex Batareanu', 'Andrei Nova', 'Gabriel Constantin', 'Oleg Mirochnikov', 'Katia Elizarova', 'Denis Khoroshko', 'Zsuzsa Magyar', 'Michael Lerman', 'Rosie Ede', 'Andy Muschietti', 'Ellie Rawnsley', 'Greg Lockett', 'Chelsea Leigh Macleod', 'Leslie Soo', 'Freya Evans', 'Sue Moore', 'Lynn Farleigh', 'Martin Pemberton', 'Sarah Lawn', 'David Calvitto', 'Ben Affleck', 'Gal Gadot', 'George Clooney', 'Jason Momoa']"
The OctoGames,58.08,"['Thriller', 'Action', 'Horror']","['Lacy Hartselle', 'Cale Adcock', 'Luv Patel', 'Henry Haggard', 'Allison Shrum', 'Alice Raver', 'Brad Belemjian', 'Patrick Sharn', 'Claire Palmer', 'Sally Harvey Anderson', 'Adam Pietripaoli', 'Ali Thomas', 'Fallon Gyurko']"
Sound of Freedom,80.55,"['Action', 'Drama']","['Jim Caviezel', 'Mira Sorvino', 'Bill Camp', 'Gerardo Taracena', 'Kurt Fuller', 'José Zúñiga', 'Eduardo Verástegui', 'Scott Haze', 'Yessica Borroto Perryman', 'Gary Basaraba', 'Manny Pérez', 'Gustavo Sánchez Parra', 'Javier Godino', 'James Quattrochi', 'Eduardo Gomez Monteverde', 'Gustavo Angarita Jr.', 'Ariel Sierra', 'Kris Avedisian', 'Alejandro Muela', 'Jaime Newball', 'Cristal Aparicio', 'Lucas Ávila', 'Samuel Livingston', 'Valerie Domínguez', 'Jairo Ordóñez', 'Carlos Gutiérrez', 'Hector Lucumi', 'Alina Lozano']"
Johnny Z,50,"['Horror', 'Action', 'Science Fiction']","['Michael Merchant', 'Félix Cortés Rodríguez', 'Jason Delgado', 'David E. McMahon', 'Ellie Church', 'Trey Harrison', 'Wayne W. Johnson', 'Billy Garberina', 'Ron Bonk']"
